Album,Link,Title,Year,Artist,Lyrics
The '59 Sound,https://songmeanings.com/songs/view/3530822107858728153/,"Casanova, Baby!",2009,The Gaslight Anthem,"Do you hear that whistle wail?
I think the end is comin' in
I'm a whole lot worse for wear
But I'm determined to slip this skin

And I know you're dyin' for a good time
I'm dyin' to breathe again
Oh my, my Virginia

We could run all night and dance upon the architecture
Come and take my hand, I'll give the very best I can
But boy, I still want to be your man
I'm still these nervous feet and heart of stone
Forget this dead man's town, I'll take you home

Do you hear me late at night?
Always pickin' at the pieces
Sometimes nothin' comes out right
And nothin' is relievin'

But every soul man's song
Is a night I'd like to spend with you
Just twistin' the night away

But it's past quarter to three
And it's past the midnight hour
Mustang Sally's left the building
And we're so much worse without her

If I could put down this old hammer
I'd take you somewhere new
Oh my, my Virginia

We could run all night and dance upon the architecture
Come and take my hand, I'll give the very best I can
But boy, I still want to be your man
I'm still these nervous feet and heart of stone
Forget this dead man's town, I'll take you home

Oh my, my Virginia

We could run all night and dance upon the architecture
Come and take my hand, I'll give the very best I can
But boy, I still want to be your man
I'm still these nervous feet and heart of stone
Forget this dead man's town, I'll take you home
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858732612/,Even Cowgirls Get the Blues,2009,The Gaslight Anthem,"I haven't seen Sandy, Angry Johnny, or Mary
I heard they got married
Mighta had a couple babies
They traded their memories
For fairview and acres
And never play no pinball
Or get up pass the breakers

But not me, pretty baby
I still love Tom Petty songs
And driving old men crazy
And all while Little Eden is waiting
So you sing me a slow song
And I'll drive you crazy
Tonight

Yeah

But all I want is for you to be alright and satisfied
Brothers and sisters know that anytime or late at night,
If you call I will answer, I'm open ears though tired eyes
But the world closed it's arms on us now
Can I get a witness pretty baby?
I still love Tom Petty songs
And driving old men crazy
And all while Little Eden is waiting
So you sing me a slow song
And I'll drive you crazy
Tonight

Alright, alright
Alright, alright
All night, all night!

There's a party tonight, say it's alright
Tell your poppa you'll be home when the good feeling dies

But not me, pretty baby
I still love Tom Petty songs
And driving old men crazy
And all while Little Eden is waiting
So you sing me a slow song darlin'
I'll drive you crazy
Tonight

Alright, alright
Alright, alright
Tonight! Honey!
All night, tonight
And I'll drive you crazy
Tonight
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858728253/,Meet Me by the River's Edge,2009,The Gaslight Anthem,"See, I've been here for 28 years
Poundin' sweat beneath these wheels
We tattooed lines beneath our skin
No surrender, my Bobby Jean

See, I've been here for 28 years
Poundin' sweat beneath these wheels
We tattooed lines beneath our skin
No surrender, my Bobby Jean

And we've been burned by all our fears
Just from growin' up around here
Our father's factories marked our cards
While Eden burned against the stars

And Sally said, Sally said
""I can't take no more regret""
It cut us deep into our souls
Came and climbed into our bed

And Sally said, Sally said
""Meet me by the river's edge""
We're going to wash these sins away
Or else we won't come back again

You know I had these ballroom dreams
That, as a child came to me
I was a boy in Grandma's arms
A mother's pride and a wounded heart

And I was full with fiery wonder
You wore Audrey Hepburn pearls
You were the only one who understood me then
You're the only one who will

And Sally said, Sally said
""I can't take no more regret""
It cut us deep into our souls
Came and climbed into our bed

And Sally said, Sally said
""Meet me by the river's edge""
We're going to wash these sins away
Or else we won't come back again

And now I drive the one-oh-one
On a California night
And I'm amazed at all the stars
Beneath that old Hollywood sign

And they waltz the ballet up the boulevard 
To a place we never kept
And I'm not sure if we belong here
If I never really left or if I can go home

And Sally said, Sally said
""I can't take no more regret""
It cut us deep into our souls
Came and climbed into our bed

And Sally said, Sally said
""Meet me by the river's edge""
We're going to wash these sins away
Or else we won't come back again

No retreat, no regrets
No retreat, no regrets
No retreat, no regrets
Meet me by the river's edge

No retreat, no regrets
No retreat, no regrets
No retreat, no regrets
Meet me by the river's edge
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858728246/,"Here's Looking at You, Kid",2009,The Gaslight Anthem,"You can tell Gayle, if she calls,
That I'm famous now for all of these rock and roll songs.
And even if that's a lie, she should've given me a try.
When we were kids on the field of the first day of school.
I would've been her fool.
And I would've sang out your name in those old high school halls.
You tell that to Gayle, if she calls.

And you can tell Jane, if she writes,
That I'm drunk off all these stars and all these crazy Hollywood nights.
And that's a total deceit, but she should've married me.
And tell her I spent every night of my youth on the floor,
Bleeding out from all these wounds.
I would've gotten her a ride out of that town she despised.
You tell that to Janey, if she writes.

But boys will be boys and girls have those eyes
That will cut you to ribbons sometimes.
And all you can do is just wait by the moon
And bleed if it's what she says you oughta do.

You remind Anna, if she asks why,
That a thief stole my heart while she was making up her mind.
I heard she lives in Brooklyn with the cool,
Goes crazy over that New York scene on 7th Avenue.
But I used to wait at the diner, a million nights without her,
Praying she won't cancel again tonight.
And the waiter served my coffee with a consolation sigh.
You remind Anna, if she asks why.
Tell her it's all right.

You know it's hard to tell you this.
Oh it's hard to tell you this.
Here's looking at you, Kid.
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858728255/,The Backseat,2009,The Gaslight Anthem,"In the back seats of burned out cars
In the disenchantment lane
The ideal angels twist and turn
And ask forgiveness for future mistakes

But you and I, we've been through this
Maybe a hundred times before
Always hitchin' rides with strangers
That papa warned us about before

But you know the summer always brought in
That wild and reckless breeze
And in the backseats we just tried to find
Some room for our knees

And in the backseats we just tried to find some room to breathe
And in the backseats we just tried to find some room to breathe

And in the wild desert sun
We drove straight on through the night
We rode the fever out of Austin
Dreamed of California lights

Come July, we'll ride the Ferris wheel
Go 'round and 'round and 'round
And if you never let me go
Well, I will never let you down

And you know the summer always brought in
All those wild and reckless breezes
And in the backseats we just tried to find
Some room for our knees

And in the backseats we just tried to find some room to breathe
And in the backseats we just tried to find some room to breathe

And these cowboys all go crazy in the heat
Chasin' the lights and all the girls along the Santa Ana streets
They're just dyin' to meet
It meant nothin' to me

You know the summer always brought in
That wild and reckless breeze
And in the backseats we just tried to find
Some room for our knees

You know the summer always brought in
That wild and reckless breeze
And in the backseats we just tried to find
Some room for our knees

You know the summer always brought in
That wild and reckless breeze
And in the backseats we just tried to find
Some room for our knees, hey
"
American Slang,https://songmeanings.com/songs/view/3530822107858822082/,American Slang,2010,The Gaslight Anthem,"Look what you started,
I seem to be coming out of my skin
Look what you've forgotten here
The bandages just don't keep me in

And when it was over, I woke up alone

And they cut me to ribbons and taught me to drive
I got your name tattooed inside of my arm
I called for my father but my father had died
While you told me fortunes, in American Slang

Look at the damage,
The fortunes came for the richer men.
While we're left with gallows,
Waiting for us liars to come down and hang.

And when it was over, I woke up alone

And they cut me to ribbons and taught me to drive
I got your name tattooed inside of my arm
I called for my father but my father had died
While you told me fortunes, in American Slang

And here's where we died that time last year,
And here's where the angels and devils meet.
And you can dance with the queen if you need,
And she will always keep your cards
Close to her heart ooh
So close to her heart before they tear you apart

When they cut me to ribbons and taught me to drive
I got your name tattooed inside of my arm
And I called for my father but my father had died
I called for my father but my father had died
While you told me fortunes, in American Slang
You told me fortunes, in American Slang
"
American Slang,https://songmeanings.com/songs/view/3530822107858825552/,Stay Lucky,2010,The Gaslight Anthem,"It took so long to get me back on my feet
It takes so long to find the words and the beat
And Charlie's waiting on the end of the phone
To hear you call on him to try to recapture
But them old records won't be saving your soul
And them feelings got the reasons you know
That you've forgotten somewhere
Riding a train to place
You are out in the cold cold
And it feels like all you'd have to do
Is step outside
Stop pacing around and waiting for some moment
That might never arrive

But you're never gonna find it
Like when you were young
And everybody used to call you lucky

Nothing feels right in the wintery cold
Steam, heat, clang, and the dark at your door
All the other rooms are a party tonight
And you never got an invitation
And you feel in your bones
Steady aching and more
Twenty five years gone just an hour ago
Momma never told me there'd be days like these
Until it was much too late to recover
And it feels like all you'd have to do
Is step outside
Stop pacing around and waiting for some moment
That might never arrive

But you're never gonna find it
When your knees got so weak
But it's right here in case you need it
Like when you were young
And everybody used to call you lucky
When you were young
And everybody used to call you lucky

But it feels like you just might explode inside
You've been pacing around and waiting
For some moment that might never arrive at all
What you don't have, you don't need it anymore
What you don't have, you don't need it anymore

But you're never gonna find it
When your knees got so weak
But it's right here in case you need it
Like when you were young
And everybody used to call you lucky
When you were young
And everybody used to call you lucky

If you're anywhere in Manhattan
In the next eight days or so
Let me know
Speak to stay lucky
"
American Slang,https://songmeanings.com/songs/view/3530822107858825554/,Bring It On,2010,The Gaslight Anthem,"My queen of the Bronx
Blue eyes and spitfire
I saw you walking back and forth about another boy
Thinking that you may want to leave

So give me the fevers that just won't break
And give me the children you don't want to raise
And tell me about the Cool, he sings to you in those songs
If it's better than my love, then bring it on

And take it back out to the streets where you know you used to be
For the Romeos uptown, if I bring you down
And you're tired of those vows
And you're really walking out

So give me the fevers that just won't break
And give me the children you don't want to raise
And tell me about the Cool, he sings to you in those songs
If it's better than my love, baby, bring it on
Oh, bring it on

Stop clicking your red heels and wishing for home
I'm hearing that he tells you he can read your palms
Is he better than my love? (better than my love?)
Is he better than my love? (better than my love?)

So I found the letters with the reasons to things
You've been feeling that he says they'll never know
And you say the night just got too cold

Well, everybody's cold
Who's gonna keep my baby warm
When everybody goes?

So give me the fevers that just won't break
And give me the children you don't want to raise
And tell me about the Cool, he sings to you in those songs
If it's better than my love

Well, then wait a minute, wait a minute
(Wasn't I good to you?)
Wait a minute, wait a minute
(Wasn't I good to you?)
Wait a minute, wait a minute
(You don't know what's good for you)

So give me the fevers that just won't break
And give me the children you don't want to raise
And tell me about the Cool, he sings to you in those songs
You've been my baby for so long, come on, bring it on
Oh, bring it on

Stop clicking your red heels and wishing for home
I'm hearing that he tells you he can read your palms
If he's better than my love
If he's better than my love, then go on, take it all
"
American Slang,https://songmeanings.com/songs/view/3530822107858825555/,The Diamond Church Street Choir,2010,The Gaslight Anthem,"Now the lights go low on the avenue
And the cars pass by in the rain
University boys and the girls fill the bars
While I'm just waiting for the light to change
And the steam heat pours from the bodies on the floor
In the basement where the Jackknives play
For the hub city girls in the ribbons and the curls
Who know the meaning of staying out late
The know the meaning of staying out very, very late
Singing

Who does it better than we do
Them sopranos in Andy Diamond's choir
Whoa, nobody knows
I've been crazy for so long without you

They'll find me beat down out in the universe
Though I'll never forget where I'm from
I might have moved away from home
And slept out there on my own
A million miles away in the stone
But the beat never leaves
And the temple's a relief
To my aching bones, rambling all over
And if I'm gone for too long
I can always hum along
So don't never forget what I told you
So don't never forget what I told you
Everybody singing

Who does it better than we do
Them sopranos in Andy Diamond's choir
Whoa, nobody knows
I've been crazy for so long without you

Just, baby who sings the rhythm and the blues
So sad, so slow, so smooth
Like I do, like I do
And oh, ain't it just like you want to
And oh, ain't it just like you always wanted to
Every night waiting
So long without you

Baby, who sings it better than we do
Them sopranos in Andy Diamond's choir
Whoa, nobody knows
I've been crazy for so long without you
Just, baby who sings the rhythm and the blues
So sad, so slow
Like I do
And just like you want to
"
American Slang,https://songmeanings.com/songs/view/3530822107858825462/,The Queen of Lower Chelsea,2010,The Gaslight Anthem,"Did you grow up lonesome and one of a kind?
Were your records all you had to pass the time?
Or maybe you were taken by the mysteries of New Orleans?
Or the uptight, rowdy girls of Lower Chelsea?
And we're hustling under but we live in the city
And we keep it down when we take a beating
Yeah, we keep it down with the radio on
And if you find a good man, don't take him home

When you're working full-time
And spending all of your nights never dancing like you did
While the gravity hangs on all the selling points you had,
She'll still remain the Queen of Lower Chelsea

Did you grow up a good girl,
You daddy's pride?
Did you make all the right moves,
Take all the right drugs right on time?
American girls, they want the whole world
They want every last little light in New York City

But we're hustling under and we're fast asleep
And we keep it down when we take a beating
Yeah, we keep it down with the radio on
And if you find a good man, don't take him home

When you're working full-time
And spending all of your nights never dancing like you did
While the gravity hangs on all the selling points you had,
She'll still remain the Queen of Lower Chelsea

Well they say these days,
Nothing comes cheap
And everything has a price
Everything has a price
Nothing is free
Not even me

When you're working full-time
And spending all of your nights never dancing like you did
While the gravity hangs on all the selling points you had,
She'll still remain the Queen of Lower Chelsea

When you're working full-time
And spending all of your nights never dancing like you did
While the gravity hangs on all the selling points you had,
She'll still remain the Queen of Lower Chelsea
"
American Slang,https://songmeanings.com/songs/view/3530822107858825556/,Orphans,2010,The Gaslight Anthem,"Goodbye circus wheel
May you rest along the sea 
I have given you the fire of my youth 
And the triumph o're my enemies
Goodbye fair weather home, and your faithless factories
I have given you the blood and the truth
From the wounds they laid onto me
And whatever they left, well, I kept it for my own heart

And the lonesome all understand
With the choirs in my head
And we were orphans before
We were ever the sons of regret
My baby
And on and on and on
The alphabet boys carry on
We were orphans before
We were ever the sons of these songs

And now my lights, they never go down
They waltz the moon and stars for me now
So you can find some local libertine
To take your daughters out on the town
And I can feel it in my aging bones
How the sound of the rain mixes up
Into the fountains where I drank my hero's blood
So I left you to find my very own hat full of rain

And the lonesome all understand
With the choirs in my head
And we were orphans before
We were ever the sons of regret
My baby
And on and on and on
The alphabet boys carry on
We were orphans before
We were ever the sons of these songs

Now I'm trying to keep it straight
Learning all the streets and the alleyways
And learning where they lead
Now that I'm left alone here to drive
But it's so hard to stand on your own
Against mirror of glass, hard and cold
But the clothes I wore
Just don't fit my soul anymore
No the clothes I wore
Just don't fit my soul anymore

And the lonesome all understand
With the choirs in my head
And we were orphans before
We were ever the sons of regret
My baby
And on and on and on
The alphabet boys carry on
We were orphans before
We were ever the sons of these songs

When we were young
We were diamond Sinatras
Like something I saw in a dream
We kept our secrets in rooms
Locked up tight like a tomb
Where the ballerinas lay
"
American Slang,https://songmeanings.com/songs/view/3530822107858825559/,Boxer,2010,The Gaslight Anthem,"Got your pride and your prose
Tucked just like a Tommy gun
Somewhere in the smoke
Just in case you need it
I know you got your pride and your prose
Tucked just like a Tommy gun
Somewhere in the smoke
Just in case you needed
Some of her to spin around
Rougher than the last one
Oh, what'd you used to say
The harder they come
But he just swears he's praying for a good time
He, he said he just doesn't miss her
And I have heard you never really lose it
Do you, do you

He took it all gracefully on the chin
Knowing that the beatings had to someday end
He found the bandages inside the pen
And the stitches on the radio
There was something, baby, holding you down
And there were whispers that were driving you crazy
And now you hunt the heart of this town
Remember when I knew a boxer, baby

And you tied two knuckles up
How they grind down
Tried to be a man
Tough just like your father
Try to settle down
Boy, I could calm down
Remember them songs
And the reasons we were singing
But he said he just doesn't miss her
He, he said it's somewhere in his framework
And I have heard you never really lose it
Do you, do you

He took it all gracefully on the chin
Knowing that the beatings had to someday end
He found the bandages inside the pen
And the stitches on the radio
There was something, baby, holding you down
And there were reasons that were driving you crazy
Until you hunt the heart of this town
Remember when I knew a boxer, baby

And you can wait all night long
Until it all goes wrong
And you waste away your soul
And you can wait, wait, wait, wait

You took it all gracefully on the chin
Knowing that the beatings had to someday end
You found the bandages inside the pen
And the stitches on the radio
There was something, baby, holding you down
And there were whispers that were driving you crazy
Until you hunt the heart of this town
Remember when I knew a boxer, baby
Remember when I knew a boxer, baby
"
American Slang,https://songmeanings.com/songs/view/3530822107858825561/,Old Haunts,2010,The Gaslight Anthem,"A cherry bomb, you are a mystery
Exploded, sparkling quiet nights
My teenage heart packed all my misery, baby
To fingertips that might ignite
And all along you knew my story, didn't you
And all night long I carried yours
Your blood was mixed wine and robbery, baby
And left us always wanting more

So don't sing me your songs about the good times
Those days are gone and you should just let them go
And God help the man who says
If you'd have known me when
Old haunts are for forgotten ghosts
Old haunts are for forgotten ghosts

Cherry bomb, your love is surgery
Removing what you don't regard
And every breath felt like a funeral, baby
While you were packing up your car
And with the window down
I hear your tired mouth
You borrowed everything
And wore all your old welcomes out
And shame on you, my love
You sold your youth away
Memories are sinking ships
That never would be saved

So don't sing me your songs about the good times
Those days are gone and you should just let them go
And God help the man who says
If you'd have known me when
Old haunts are for forgotten ghosts
Old haunts are for forgotten ghosts

And shame, shame, shame, shame on you
You kept your mind and heart and youth
Just like a tomb
And shame, shame, shame, shame on you
You kept your mind and heart and youth
Just like a tomb

And don't sing me your songs about the good times
Those days are gone and you should just let them go
So God help the man who says
If you'd have known me when
Old haunts are for all those ghosts
And don't sing me your songs about the good times
Those days are gone and you should just let them go
And God help the man who says
If you'd have known me when
God help the man who says
If you'd have known me when
God help this man who says
My baby, if you'd have known me when
Old haunts are all we've ever known
"
American Slang,https://songmeanings.com/songs/view/3530822107858825563/,The Spirit of Jazz,2010,The Gaslight Anthem,"The cool is dead, baby
Go on and sleep
Rest your weary head and love a better me
And in the morning
We'll start over again
That's how they do it up on the screen
So me and my baby
We would dance all night
But I don't know the steps
In my baby's time
To do it like they do it
For the girls uptown
I hear they light them up like the blues
So I'm waiting, so I'm waiting
And she's waiting, and she's waiting
For us to remember

Was I good to you, the wife of my youth
No other soul could love you
Like my rotten bones do
So I will wait on the edges in between
These New York streets
Where you and I would meet

For twenty nine years
We loved that line
And I would take it easy
If I had your mind
But I'm a cannonball to a house on fire
And you're slow like Motown soul
So what man wouldn't love her
With that long black hair
If I cut you up
Maybe I came to bear
To bandage your wounds
With the salt on my tongue
And I'm the only one not here
So I'm waiting, so I'm waiting
And she's waiting, and she's waiting
For us to remember

So was I good to you, the wife of my youth
No other soul could love you
Like my rotten bones do
So I will wait on the edges in between
These New York streets
Where you and I would meet

And only I can heal your wounds
Only I can heal your wounds
When you can't go on
When you can't go on
When you can't go on
When you know, hold on

So was I good to you, the wife of my youth
No other soul could love you
Like my
So was I good to you, the wife of my youth
No other soul could love you
Like my rotten bones do
So I will wait on the edges in between
And I will wait on the edges in between
And I will wait on the edges in between
These New York streets
On all these New York streets
Where you and I would meet
"
American Slang,https://songmeanings.com/songs/view/3530822107858825564/,We Did It When We Were Young,2010,The Gaslight Anthem,"Don't write me no more letters
My mailbox is full of bombs
Between you and the kooks on my block
I don't remember the good times
I wasn't there and you were kind
And my wife has some dogs in our yard
And I cannot hold a candle for every pretty girl
We were strangers many hours
And I missed you for so long
When we were lions, lovers in combat
Faded like your name on those jeans that I burned

But I am older now
And we did it when we were young
I am older now
And we did it when we were young

There are no reasons to believe
I buried my faith on the block
With your heart and your clothes
When I find
I don't feel you or recall
I'll put your bones out in the yard
Someone else to be called and called by
And I cannot hold a candle for every pretty girl
We were strangers many hours
And I missed you for so long
When we were lions, lovers in combat
Faded like your name on those jeans that I burned

But I am older now
And we did it when we were young
I am older now
And we did it when we were young
"
Handwritten,https://songmeanings.com/songs/view/3530822107859430781/,"""45""",2012,The Gaslight Anthem,"Have you seen my hands
Just look at 'em shake
And the song just keeps on repeating
Drop the needle again
And I dance with your ghost
Oh, but that ain't the way
I can't move on and I can't stay the same

And all my friends say

Hey hey, turn the record over
Hey hey, and I'll see you on the flip side
There you go, turn the key and engine over
Let 'er go, let somebody else lay at her feet

But have you seen my heart
Have you seen how it bleeds
And the nights are so long, baby
Out here in the deep
The tick, ticking of hours, lonely
I hear the alarm
I used to hear when she would sleep in my arms

But better sense says

Hey hey, turn the record over
Hey hey, and I'll see you on the flip side
There you go, turn the key and engine over
Let 'er go, let somebody else lay at her feet

And all my friends say
Hey hey, turn the record over
Hey hey, and I'll see you on the flip side
There you go, turn the key and engine over
Let 'er go, let somebody else lay at her feet

Where you used to be
Where you used to be
Where you used to be here with me
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436132/,Handwritten,2012,The Gaslight Anthem,"Pull it out, turn it up, what's your favorite song?
That's mine, I've been crying to it since I was young
I know there's someone out there feeling just like I feel
I know they're waiting up, I know they're waiting to heal
And I've been holding my breath
Are you holding your breath
For too many years to count?
Too many years to count

And we waited for the sirens that never come
And we only write by the moon
Every word handwritten
And to ease the loss of youth
And how many years I've missed you
Pages plead forgiveness
Every word handwritten

Let it out, let me in, take a hold of my hand
There's nothing like another soul that's been cut up the same
And did you want to drive without a word in between?
I can understand, you need a minute to breathe
And to sew up the seams after all this defeat
All this defeat

And we waited for the sirens that never come
And we only write by the moon
Every word handwritten
And to ease the loss of youth
And the many, many years I've missed you
Pages plead forgiveness
Every word handwritten

Here in the dark, I cherish the moonlight
I'm in love with the way you're in love with the night
And it travels from heart to limb to pen

And we waited for the sirens that never come
And we only write by the moon
Every word handwritten
Every word handwritten

And with this pen, I thee wed
From my heart to your distress

Every word handwritten
"
Handwritten,https://songmeanings.com/songs/view/3530822107859434691/,Here Comes My Man,2012,The Gaslight Anthem,"And how much time do you think that we have?
If I wanted to, I could start over again
Let the good night decide who she wants me to find
And I'll never let you drop another tear in my eye

Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man

Yeah

And all my life I never had a chance
Don't you think I knew about all your pretty girlfriends
But I waited for you, gave you time to decide
But you never saw it from anybody else's side
So I packed up my things and I faced up my doubts
You know I think I will grow my hair back out
Nevermind what you think
Nevermind what you like
I'll take it out to the streets for somebody else to admire

Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man

Maybe time will tell you
Why I got so much hell to sell you
Please, please understand me
Oh you can't just dance around me
Maybe your work will love you
When I'm just not there to hold you
Maybe your pride can be your companion
Oh but I just won't be there to stand for it
Not one more minute will I stand for it

Oh-oh

You found me singing, baby

Oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Singing oh sha-la-la, oh sha-la-la
Listen honey here comes my man
Here comes my man
Here comes my man
Here comes my man
Here comes my man
Here comes my man
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436126/,Mulholland Drive,2012,The Gaslight Anthem,"Did you sleep last night and do you remember dreams?
Do I ever cross your mind and do you ever think of me?
When you think about your life are there things you would reverse?
I still remember holding you, just out of sight of her
In the deep, dark parking lot pressed up against my car
With your hands around my neck I felt the pounding of your heart
And the summer night was giving in to the lure of Autumn's sway
I can't seem to forget that night or how I heard you say

That I'd just die if you ever took your love away
Oh and I'd just die if you ever took your love away
Would you miss me if I was gone and all the simple things were lost?
Would you ever wait on me to say
Oh that I'd just die if you ever took your love away

And I can still recall the hour when you first let down your walls
I thought I might've died right there floating up above it all
But it scared you love, to need someone, so you killed it all instead
But in the mist up on Mulholland, I could've sworn I heard you say

That I'd just die if you ever took your love away
Oh and I would just die if you ever took your love away
Did you miss me when I was gone and the simple things we lost?
I was aching to hear you say
Oh that I'd just die if you ever took your love away

That I'd just die if you ever took your love away
Yes and I would just die if you ever took your love away
Did you miss me when I was gone and the simple things we lost?
I was aching to hear you say
Oh that I'd just die if you ever took your love away

And did you miss me when I'm gone?
And the simple things we used to rely on?
Who came to wipe your tears away?
Who came to bring back your dignity baby?
And who came to drive you around this town
Like I used to drive you all around with the radio on
Through the mist on Mulholland, through the mist on Mulholland, through the mist on Mulholland
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436135/,Keepsake,2012,The Gaslight Anthem,"It's been thirty-one years
Since she's been in your arms
But don't worry about Mama
Mama's got a good heart

And I'm not looking for your love
I'm only sniffing out blood
Just a little taste of where I came from

And at the bottom of this river
Is where I put you down to lay
So I can live with it
And in my heart, heart, heart there are these waters
Where I put you down to lay
While I learn to live with it
Until I'm free

And it's been all my life
I've been wondering on the inside
What we could've had
If you'd had a part in my life

And there were children involved
And they were brothers to me
Even if we never got to meet

And at the bottom of this river
Is where I put you down to lay
So I can live with it
And in my heart, heart, heart there are these waters
Where I put you down to lay
While I learn to live with it
Until I'm

Free at last from this shadow that hangs
Surely you wonder sometimes
And I'm sure you all sympathize
Just what a man's to become, just like his daddy's done
I just want to love someone
Who has the same blood

And at the bottom of this river
Is where I put you down to lay
So I can live with it
And in my heart, heart, heart there are these waters
Where I put you down to lay
While I learn to live with it
Keepsake, keepsake
Until I'm free
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436127/,Too Much Blood,2012,The Gaslight Anthem,"Are you scared this sounds familiar?
What if everybody knew the very trials and temptations
That we put ourselves through?
Now I am no angel but I got nothing to hide
Can you say the same thing for yourself tonight?

What can I keep for myself if I tell you my hell?
What would be left to take to my grave?
And what's left for you, my lover to save?
What's left for only you to take?
If I put too much blood on the page
If I put too much blood on the page
And if I just tell the truth are there only lies left for you
If I put too much love on the page?

Now as my eternal witness to the pride and the shame
Are you worried I say too much?
Are you scared they'll take me away?
Now I am no devil but I've got things on my mind
And they're gonna come out and they're gonna come up time to time

What can I keep for myself if I tell you my hell?
What would be left to take to my grave?
And what's left for you, my lover to save?
What's left for only you to take?
If I put too much blood on the page
If I put too much blood on the page
And if I just tell the truth are there only lies left for you
If I put too much blood on the page?

What can I keep for myself if I tell you my hell?
What would be left to take to my grave?
And what's left for you, my lover to save?
What's left for only you to take?
If I put too much blood on the page
If I put too much blood on the page
And if I just tell the truth are there only lies left for you
If I put too much blood on the page?

If I put too much blood on the page
If I put too much blood on the page again
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436128/,Howl,2012,The Gaslight Anthem,"Hey wake it up! Hey shake it out!
Does anything still move you since you're educated now?
And all grown up and traveled so well
Do you still hear the sound of the thunder while you lie up by yourself?

Like you waited on his call and made your plans for great escapes
And there used to be a movement in the way your dress would wave
From your hips on down like electric through the ground

Now do you blow it out come Friday night?
See if you wanna, you can find me on the hood under the moonlight
Radio, oh radio, do you believe there's still some magic left
Somewhere inside our souls?

Like I waited on your call and made my plans to share my name
And I love the country movement in the way your dress would wave
From your hips on down like electric through the ground

Sound of the cars rushing the rain on the boulevard
In this city by the sea that has always haunted me
And belonged to me somehow
Bless your waters and your doubts
Bless your waters
Bless your doubts
"
Handwritten,https://songmeanings.com/songs/view/3530822107858890842/,Biloxi Parish,2012,The Gaslight Anthem,"I've been fondling with your heart strings
And that's good enough for me
And if I break over your house
Then I know I must been working
Try it on for size my darling
See what man you can make of me
I will eventually haunt you
And you'll eventually will be my queen

And I'll be with you through
The dark so that you do not
Go through the dark alone
On your own

I've been down at Biloxi Parish
And that's good enough for me
I found that nothing truly matters
That you cannot find for free
I love you more than can I tell you
When you pass through from this world
I hope you ask to take me with you
So I don't have to wait for long

But until then I'll be with you through the dark
And until then I'll be with you through the dark

And who else can say that about you, baby
Who else can say that about you, now
And who else can take all your blood and your curses
Nobody I've seen ya hanging around
Seen ya hanging around

And all of our heroes with failures of ghosts
Burn down in brilliant explosions alone
And all of the blood and the sweat that they gave
Well we took it all and we threw it away

And who else can say that about you, baby
Who else can say that about you, now
And who else can take all your blood and your curses
Nobody I've seen ya hanging around
And who else can say that about you, baby
Who else can say that about you, now
And who else can say all your blood and your curses
Nobody I've seen ya hanging around
Seen ya hanging around
"
Handwritten,https://songmeanings.com/songs/view/3530822107859436129/,Desire,2012,The Gaslight Anthem,"What makes a man do the things that a man does
To be the very thing he perceives would capture your heart?

What does it feel like inside?
Does it hurt you at night?
Or does it keep you alive, and set you on fire, on fire?
I would give anything for the touch of your skin
Yes, I would burn here for years
Up in desire, desire

What makes a woman believe in a man such as me?
Unworthy to sit at your foot or your crown
I can only let you down, I can only let you down

What does it feel like inside?
Does it hurt you at night?
Or does it keep you alive and set you on fire, on fire?
I would give anything for the touch of your skin
Yes, I would burn here for years
Up in desire, desire

And some men spend their lives
Chasing the accolades of pride
But that just never crossed my mind,
You were always on my mind, you were always on my mind

What does it feel like inside?
Does it hurt you at night?
Or does it keep you alive, and set you on fire, on fire?
I would give anything for the touch of your skin
Yes, I would burn here for years
Up in desire, desire
"
